55 55 55 54 53 52
99 70 99 26 99 43
93 74 96 36 73 53
65 76 85 10 23 75
11 22 33 44 55 66
11 99 99 99 99 99
33 33 77 77 77 77
44 44 44 66 66 66
55 55 55 55 55 55
41 77 42 80 84 33
57 30 80 38 14 24
29 61 84 42 47 99
84 26 69 92 19 63
12 25 44 28 95 13
82 13 56 61 94 36
11 43 89 85 66 40
20 79 92 21 20 53
61 76 97 65 89 71
41 77 96 22 58 77
46 19 83 11 94 68
37 42 76 59 99 17
31 74 44 32 12 25
29 66 67 23 35 22
34 90 23 70 15 68
74 87 66 41 70 75
23 63 69 88 23 49
91 17 38 29 11 23
26 62 70 61 32 81
15 44 83 12 36 97
38 79 70 82 76 39
68 51 14 35 14 96
72 84 18 22 41 88
24 73 58 98 32 89
38 77 49 66 82 66
73 78 42 92 35 89
28 23 75 66 29 80
47 94 11 89 69 41
50 70 52 57 58 23
43 17 74 35 59 25
56 87 55 44 40 90
22 95 79 81 78 61
85 80 21 28 77 74
69 79 67 62 96 92
23 59 77 60 49 34
44 56 44 33 17 29
87 60 56 66 21 50
71 83 31 21 75 61
44 99 88 86 77 19
83 40 69 38 88 58
96 42 50 10 96 38
91 77 69 73 68 45
48 96 43 89 51 59
31 58 60 83 11 87
27 67 69 74 27 84
1 19 29 73 79 81
1 19 29 73 78 86
1 19 29 73 78 186
71 28 42 49 63 68
32 99 38 41 75 12
60 92 63 31 61 33
37 50 76 36 64 82
41 71 91 60 48 72
18 89 72 87 15 70
13 22 36 50 79 43
57 98 11 50 56 22
91 98 69 72 89 76
11 21 51 64 43 100
87 100 46 35 18 47
29 30 54 44 11 69
33 49 11 16 71 98
76 27 44 65 82 75
46 35 98 89 34 80
100 15 65 97 100 74
55 31 86 68 19 35
40 41 76 60 46 38
69 51 38 88 50 42
99 96 64 39 62 70
35 55 47 41 78 31
66 37 40 57 91 14
44 83 15 63 27 100
20 85 21 34 75 40
36 71 98 95 11 11
57 74 40 98 20 99
85 26 31 75 53 50
26 86 63 21 37 77
77 14 24 57 100 28
31 58 56 32 59 88
40 76 40 34 95 21
29 46 90 13 39 44
17 55 27 41 96 75
23 33 44 17 96 34
78 40 97 47 10 48
68 86 81 99 34 24
21 92 59 58 30 99
25 92 78 37 74 60
90 25 26 60 95 88
25 55 89 71 16 74
40 47 43 10 12 12
47 27 48 45 19 95
87 59 50 13 28 95
88 17 59 95 67 12
16 36 42 48 42 44
80 93 44 23 53 75
73 19 23 49 36 99
71 68 78 87 94 59
69 56 80 35 24 15
25 19 55 21 19 53
36 74 15 74 65 14
19 10 38 24 89 48
28 57 71 69 61 64
25 91 96 90 30 16
86 69 54 46 60 17
36 77 89 79 72 62
21 84 18 36 63 90
97 53 39 25 24 63
24 98 94 38 75 14
77 29 23 67 56 73
18 56 43 25 57 66
91 58 22 90 96 34
40 90 45 23 90 25
89 47 10 97 45 73
24 99 23 30 42 68
27 42 27 54 59 66
23 36 26 85 84 36
36 65 58 42 71 27
49 91 27 38 68 81
48 62 46 16 13 12
58 21 59 24 46 49
61 55 79 85 10 80
88 95 23 37 43 74
19 46 17 51 72 23
39 23 73 25 59 12
85 82 10 52 64 62
94 51 59 64 91 20
93 26 97 59 45 58
66 20 84 80 36 17
81 51 20 47 27 91
29 31 78 14 83 47
97 78 30 56 44 95
75 13 96 46 95 69
25 83 71 11 23 58
51 36 67 25 12 51
57 79 47 68 62 48
13 78 85 20 18 29
68 53 65 36 74 69
15 25 87 91 43 35
67 44 61 74 91 25
96 39 50 38 37 33
86 38 45 94 64 92
57 40 84 75 37 30
84 83 100 56 29 94
74 59 31 48 25 67
67 90 56 100 55 38
53 19 51 31 70 83
89 19 64 71 48 39
14 86 88 83 98 26
63 55 41 24 44 62
24 97 76 45 44 72
20 26 12 59 86 74
69 99 64 54 98 65
37 59 76 62 48 45
82 14 52 83 17 32
88 46 80 80 38 61
64 34 27 41 22 30
88 63 38 32 54 26
75 80 52 75 40 42
82 54 54 78 91 73
93 26 64 40 87 81
62 63 48 46 30 12
62 88 89 20 64 15
76 12 62 62 54 58
100 41 12 15 95 17
79 94 55 14 42 48
41 59 14 59 93 10
59 67 24 97 71 73
51 35 42 58 46 33
78 59 64 12 22 57
20 96 97 63 28 81
40 94 99 67 72 55
74 18 49 12 21 81
79 38 53 86 64 31
96 44 97 34 55 86
73 97 67 100 54 43
50 86 50 50 42 81
80 69 46 77 29 17
84 86 53 40 89 10
88 19 67 73 15 14
99 58 45 24 27 10
11 96 27 30 90 58
14 82 42 37 19 40
67 19 50 94 47 32
47 67 57 17 67 18
56 11 30 27 86 86
60 31 86 10 62 66
77 76 94 70 31 33
100 67 89 25 26 57
68 67 68 74 62 69
79 37 97 88 74 35
17 13 86 98 26 53
89 95 11 39 72 57
61 57 23 92 80 53
91 51 46 100 68 31
51 30 51 21 86 32
62 19 68 55 27 13
27 93 37 12 75 80
93 20 46 74 95 56
83 49 68 63 30 75
74 100 75 96 87 82
64 52 71 33 79 47
66 41 94 16 84 32
30 17 58 71 82 37
91 32 82 86 26 88
19 24 59 76 20 45
27 83 43 49 81 85
68 83 36 24 53 67
77 35 85 80 66 34
25 15 27 93 77 25
30 29 39 37 61 73
95 88 17 73 49 66
74 46 35 83 26 28
59 64 36 40 91 71
83 46 78 97 72 57
88 16 12 72 14 22
76 63 22 85 77 29
79 33 57 28 18 56
70 65 25 99 91 81
34 65 43 50 62 27
46 36 72 47 23 60
74 10 27 66 22 35
28 91 68 10 94 91
36 99 46 21 55 31
95 25 88 71 62 30
88 19 43 68 38 71
67 75 71 11 32 54
82 81 11 97 63 15
79 45 74 91 27 91
56 57 43 56 17 90
24 75 71 100 49 91
87 44 22 100 34 70
63 24 65 69 63 29
70 77 66 90 25 47
20 36 49 26 61 25
29 14 85 62 82 36
76 93 44 28 41 31
39 18 70 46 66 49
35 26 26 60 62 97
66 46 32 56 26 53
33 16 24 86 88 39
59 31 91 96 37 23
74 98 84 11 43 42
72 13 66 91 81 53
15 78 80 16 77 51
94 24 88 87 48 23
86 31 64 40 49 18
68 27 91 21 25 49
100 21 73 65 71 87
60 99 56 94 44 35
26 63 95 35 100 18
19 45 66 36 91 27
30 15 73 23 90 72
76 54 92 53 53 68
94 70 72 91 11 54
40 35 15 62 54 76
35 98 74 42 21 97
84 97 67 52 74 61
22 77 41 10 88 71
76 99 25 44 97 87
66 93 11 61 46 90
23 100 94 14 23 25
47 15 62 33 22 63
10 22 71 88 14 92
79 46 38 19 18 58
87 80 54 51 42 12
75 75 85 11 41 75
33 53 76 48 98 43
25 76 95 70 97 84
39 76 15 23 96 45
75 27 66 79 28 14
36 60 58 86 58 59
75 24 65 18 48 94
64 18 94 85 76 62
88 63 83 39 19 23
62 30 78 71 49 61
50 61 10 55 77 12
47 29 38 73 97 53
92 41 39 97 86 24
17 74 21 73 18 60
46 84 35 68 93 65
77 60 12 79 77 66
14 54 13 83 86 39
32 15 57 66 21 95
29 43 71 11 65 17
21 13 12 76 20 78
91 93 47 86 56 14
65 68 45 51 19 47
58 29 62 98 96 86
92 35 52 30 83 22
51 77 38 69 25 22
14 31 28 84 95 21
87 31 37 42 25 27
64 33 80 65 91 80
15 78 46 45 42 94
28 54 28 11 84 18
48 97 92 22 81 56
70 41 54 91 42 40
25 13 79 95 54 78
77 16 23 30 83 68
64 20 68 12 91 65
97 63 76 13 89 14
24 69 18 54 89 96
10 23 98 12 55 18
81 69 27 88 33 85
36 64 81 60 94 64
41 29 73 52 31 49
44 30 72 95 65 22
29 91 85 32 46 85
60 28 36 47 20 18
44 66 84 46 44 18
21 89 27 55 56 33
51 88 88 18 54 26
77 99 46 44 61 27
25 68 49 39 96 42
52 32 18 94 31 34
28 38 23 61 80 11
42 66 47 49 65 61
84 80 85 62 78 19
14 16 71 10 58 90
51 21 60 72 73 47
98 10 12 44 57 54
35 84 65 95 38 67
69 63 26 71 11 58
98 58 29 91 21 59
73 63 80 87 12 90
99 53 56 44 55 59
18 74 51 18 39 81
23 14 30 76 64 27
75 61 87 68 33 17
34 94 82 53 25 54
12 45 47 28 83 24
46 91 73 59 98 100
68 43 73 47 49 44
41 49 98 82 43 46
87 67 67 80 22 65
52 85 55 98 97 41
55 92 77 44 36 98
67 56 46 25 27 61
31 41 53 49 62 22
55 43 17 89 66 93
23 91 46 61 34 84
68 41 94 27 68 12
